"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","900","Проверка успешного заказа самоката","tests","2026-06-07","passed","2026-06-07","TestOrder","test_create_order","",""
"","778","Проверка успешного заказа самоката","tests","2026-06-07","passed","2026-06-07","TestOrder","test_create_order","",""
"","807","Проверка ошибки при входе в систему несуществующего курьера","tests","2026-06-07","passed","2026-06-07","TestLoginCourier","test_login_courier","",""
"","1085","Проверка успешного заказа самоката","tests","2026-06-07","passed","2026-06-07","TestOrder","test_create_order","",""
"","1696","Проверка ошибки при входе в систему курьера без пароля","tests","2026-06-07","passed","2026-06-07","TestLoginCourier","test_login_courier","",""
"","808","Проверка ошибки при создании курьера без логина","tests","2026-06-07","passed","2026-06-07","TestCreateCourier","test_create_courier","",""
"","1484","Проверка ошибк при входе в систему курьера без логина","tests","2026-06-07","passed","2026-06-07","TestLoginCourier","test_login_courier","",""
"","1036","Проверка ошибки входа в систему при неверном логине или пароле ","tests","2026-06-07","passed","2026-06-07","TestLoginCourier","test_login_courier","",""
"","855","Проверка успешного получения списка заказов","tests","2026-06-07","passed","2026-06-07","TestGetOrder","test_get_orders","",""
"","779","Проверка входа в систему зарегистрированного курьера","tests","2026-06-07","passed","2026-06-07","TestLoginCourier","test_login_courier","",""
"","2753","Проверка успешного создания курьера","tests","2026-06-07","passed","2026-06-07","TestCreateCourier","test_create_courier","",""
"","1588","Проверка ошибки при создания дубликата курьера","tests","2026-06-07","passed","2026-06-07","TestCreateCourier","test_create_courier","",""
"","820","Проверка ошибки входа в систему при неверном логине или пароле ","tests","2026-06-07","passed","2026-06-07","TestLoginCourier","test_login_courier","",""
"","898","Проверка успешного заказа самоката","tests","2026-06-07","passed","2026-06-07","TestOrder","test_create_order","",""
"","771","Проверка ошибки при создании курьера без пароля","tests","2026-06-07","passed","2026-06-07","TestCreateCourier","test_create_courier","",""
